Model,Language,Model_Dimension,Human_Dimension,Pearson_r,P_value,Significant
Qwen2.5-VL,English,FORCE,HAND,0.7126395231098863,0.11199951987219207,
Qwen2.5-VL,English,FORCE,ARM,-0.2658872548276015,0.610567704733632,
Qwen2.5-VL,English,FORCE,HD,0.2656973827180037,0.610832392465841,
Qwen2.5-VL,English,FORCE,VD,-0.5897155955434825,0.21796767647032037,
Qwen2.5-VL,English,HAND,FORCE,-0.018729293080727075,0.9719093453697374,
Qwen2.5-VL,English,HAND,HAND,-0.041703645798657825,0.9374807966688086,
Qwen2.5-VL,English,HAND,ARM,-0.5485639981466897,0.25969161669202656,
Qwen2.5-VL,English,HAND,HD,-0.25806811149932346,0.6214913912072955,
Qwen2.5-VL,English,HAND,VD,-0.4874744006493438,0.3267079846741647,
Qwen2.5-VL,English,ARM,FORCE,0.3591456409979482,0.48444384496309223,
Qwen2.5-VL,English,ARM,HAND,0.13272911117921635,0.8020754787321704,
Qwen2.5-VL,English,ARM,ARM,-0.8710099727111084,0.023884545124567766,*
Qwen2.5-VL,English,ARM,HD,-0.7487835331143732,0.08673747025927818,
Qwen2.5-VL,English,ARM,VD,-0.36386706959065934,0.478287258139652,
Qwen2.5-VL,English,HD,FORCE,0.506118731241864,0.3056446210461085,
Qwen2.5-VL,English,HD,HAND,0.7735358579943413,0.07112179056589801,
Qwen2.5-VL,English,HD,ARM,-0.6726474608518572,0.14320002985911062,
Qwen2.5-VL,English,HD,HD,-0.47357228781390653,0.34274576531404843,
Qwen2.5-VL,English,HD,VD,-0.539614565308609,0.269141683207962,
Qwen2.5-VL,English,VD,FORCE,0.506118731241864,0.3056446210461085,
Qwen2.5-VL,English,VD,HAND,0.7735358579943413,0.07112179056589801,
Qwen2.5-VL,English,VD,ARM,-0.6726474608518572,0.14320002985911062,
Qwen2.5-VL,English,VD,HD,-0.47357228781390653,0.34274576531404843,
Qwen2.5-VL,English,VD,VD,-0.539614565308609,0.269141683207962,
RoboBrain,English,FORCE,FORCE,-0.051831436331998285,0.9223224680216399,
RoboBrain,English,FORCE,HAND,-0.6056453367399247,0.20260924953184098,
RoboBrain,English,FORCE,ARM,-0.4291026905434258,0.39585111437678794,
RoboBrain,English,FORCE,HD,-0.47357228781390637,0.34274576531404866,
RoboBrain,English,FORCE,VD,0.07935508313361893,0.8812172338736699,
RoboBrain,English,HAND,FORCE,-0.1857639157849812,0.7245593185119708,
RoboBrain,English,HAND,HAND,0.13790652208969148,0.7944515843838592,
RoboBrain,English,HAND,ARM,-0.7045416631854821,0.1180473325425934,
RoboBrain,English,HAND,HD,-0.6793929786448561,0.13770587775337598,
RoboBrain,English,HAND,VD,-0.26539275261334255,0.6112571165048954,
RoboBrain,English,ARM,FORCE,0.8002439785994553,0.05586832299422402,
RoboBrain,English,ARM,HAND,0.774104681978114,0.07077947044708907,
RoboBrain,English,ARM,ARM,-0.01833705205707611,0.9724975048081413,
RoboBrain,English,ARM,HD,-0.24154307519818516,0.6447315679261234,
RoboBrain,English,ARM,VD,-0.7402812795120309,0.09242121155542496,
RoboBrain,English,HD,FORCE,-0.8484514471897838,0.03271014072067816,*
RoboBrain,English,HD,HAND,-0.39640573472987417,0.4365365022693634,
RoboBrain,English,HD,ARM,0.0916852602853798,0.8628574712913545,
RoboBrain,English,HD,HD,-0.024154307519818504,0.9637755849009956,
RoboBrain,English,HD,VD,0.8406584021577302,0.036061795951538515,*
RoboBrain,English,VD,FORCE,0.506118731241864,0.3056446210461085,
RoboBrain,English,VD,HAND,0.7735358579943413,0.07112179056589801,
RoboBrain,English,VD,ARM,-0.6726474608518572,0.14320002985911062,
RoboBrain,English,VD,HD,-0.47357228781390653,0.34274576531404843,
RoboBrain,English,VD,VD,-0.539614565308609,0.269141683207962,
